title,amount,date,transaction_type,card_type,direction,recipient_reference,source,destination
Grocery Store,45,2023-11-15T12:00:00Z,CARD_PAYMENT,DEBIT,OUTGOING,WHOLEFOODS-NY-123,,Whole Foods Market
Salary Deposit,3000,2023-11-14T09:00:00Z,RECEIVE_FUND,,INCOMING,ACME-CORP-NOV23,Acme Corporation,
Electric Bill,80,2023-11-10T15:30:00Z,QR_PAYMENT,,OUTGOING,CONEDISON-NOV23,,Con Edison
Online Shopping,120,2023-10-28T18:45:00Z,CARD_PAYMENT,CREDIT,OUTGOING,AMAZON-ORDER-456,,Amazon
Restaurant,65.5,2023-08-15T20:00:00Z,CARD_PAYMENT,CREDIT,OUTGOING,RESTO-BELLA-789,,Bella Restaurant
Gas Station,40,2023-08-10T14:15:00Z,CARD_PAYMENT,DEBIT,OUTGOING,SHELL-GAS-321,,Shell Gas Station
Gas Station,80,2023-05-10T14:15:00Z,CARD_PAYMENT,DEBIT,OUTGOING,EXXON-GAS-654,,Exxon Gas Station
Cashback Reward,25,2023-11-01T10:00:00Z,CASHBACK,,INCOMING,REWARDS-NOV23,Credit Card Rewards,
Coffee Shop,5.5,2023-11-16T08:30:00Z,QR_PAYMENT,,OUTGOING,STARBUCKS-NYC-01,,Starbucks
Friend Transfer,50,2023-11-13T16:20:00Z,RECEIVE_FUND,,INCOMING,JANE-DOE-SPLIT,Jane Doe,
Movie Tickets,32,2023-11-12T19:30:00Z,CARD_PAYMENT,CREDIT,OUTGOING,AMC-TICKETS-123,,AMC Theaters
Phone Bill,75,2023-11-05T12:00:00Z,QR_PAYMENT,,OUTGOING,VERIZON-NOV23,,Verizon Wireless
Gym Membership,49.99,2023-11-01T00:00:00Z,CARD_PAYMENT,DEBIT,OUTGOING,FITNESS-NOV23,,24 Hour Fitness
Freelance Payment,850,2023-10-31T15:45:00Z,RECEIVE_FUND,,INCOMING,FREELANCE-OCT23,TechCorp LLC,
Pharmacy,28.5,2023-10-29T14:20:00Z,CARD_PAYMENT,DEBIT,OUTGOING,CVS-RX-789,,CVS Pharmacy
Book Purchase,35.99,2023-10-25T11:15:00Z,CARD_PAYMENT,CREDIT,OUTGOING,BARNES-ORDER-456,,Barnes & Noble
Investment Dividend,125.5,2023-10-20T09:00:00Z,RECEIVE_FUND,,INCOMING,DIVIDEND-Q3,Vanguard Funds,
Internet Bill,89.99,2023-10-15T08:00:00Z,QR_PAYMENT,,OUTGOING,COMCAST-OCT23,,Comcast
Car Insurance,175,2023-10-10T12:30:00Z,CARD_PAYMENT,DEBIT,OUTGOING,GEICO-OCT23,,Geico Insurance
Side Gig Payment,250,2023-10-08T16:45:00Z,RECEIVE_FUND,,INCOMING,UBER-OCT-W1,Uber,
Home Improvement,289.99,2023-10-05T13:20:00Z,CARD_PAYMENT,CREDIT,OUTGOING,HOME-DEPOT-789,,Home Depot
